Name: CCTV1, URL: http://222.81.86.42:8060/hls/ch3/ch3.m3u8, Date: None, Resolution: None, Response Time: 626ms
Name: CCTV1, URL: http://222.81.86.42:8060/hls/ch3/ch3.m3u8, Date: None, Resolution: None, Response Time: 630ms
Name: CCTV1, URL: http://cfss.cc/api/ysp/cctv1.m3u8, Date: None, Resolution: None, Response Time: 1048ms
Name: CCTV1, URL: http://183.196.25.171:808/hls/1/index.m3u8, Date: None, Resolution: None, Response Time: 1051ms
Name: CCTV1, URL: https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8, Date: None, Resolution: None, Response Time: 1100ms
Name: CCTV1, URL: http://stream.smntv.cn/smtv1/sd/live.m3u8, Date: None, Resolution: None, Response Time: 1276ms
Name: CCTV1, URL: http://api2.52tb.xyz/info?id=2&token=20230326xflvzc, Date: None, Resolution: None, Response Time: 1378ms
Name: CCTV1, URL: http://play.kankanlive.com/live/1661761962676984.flv, Date: None, Resolution: None, Response Time: 1637ms
Name: CCTV2, URL: https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8, Date: None, Resolution: None, Response Time: 235ms
Name: CCTV2, URL: http://183.196.25.171:808/hls/2/index.m3u8, Date: None, Resolution: None, Response Time: 489ms
Name: CCTV2, URL: http://221.210.64.165:2233/hls/9/index.m3u8, Date: None, Resolution: None, Response Time: 568ms
Name: CCTV2, URL: http://210.210.155.37/uq2663/h/h157/index2.m3u8, Date: None, Resolution: None, Response Time: 703ms
Name: CCTV2, URL: http://api2.52tb.xyz/info?id=3&token=20230326xflvzc, Date: None, Resolution: None, Response Time: 769ms
Name: CCTV3, URL: http://183.196.25.171:808/hls/75/index.m3u8, Date: None, Resolution: None, Response Time: 476ms
Name: CCTV3, URL: http://120.7.86.101:808/hls/3/index.m3u8, Date: None, Resolution: None, Response Time: 490ms
Name: CCTV3, URL: http://api2.52tb.xyz/info?id=4&token=20230326xflvzc, Date: None, Resolution: None, Response Time: 736ms
Name: CCTV3, URL: http://210.210.155.37/uq2663/h/h157/index2.m3u8, Date: None, Resolution: None, Response Time: 738ms
Name: CCTV3, URL: https://z88.ubtvfans.com/live/rx3/202/fc79bd267d53db86c843141d79588ab3/index.m3u8, Date: None, Resolution: None, Response Time: 5308ms
Name: CCTV4, URL: http://183.196.25.171:808/hls/4/index.m3u8, Date: None, Resolution: None, Response Time: 494ms
Name: CCTV4, URL: http://1.195.111.251:11190/tsfile/live/0004_1.m3u8, Date: None, Resolution: None, Response Time: 512ms
Name: CCTV4, URL: https://turkmedya-live.ercdn.net/tv4/tv4_720p.m3u8, Date: None, Resolution: None, Response Time: 514ms
Name: CCTV4, URL: http://1.195.111.251:11190/tsfile/live/0004_1.m3u8, Date: None, Resolution: None, Response Time: 517ms
Name: CCTV4, URL: http://210.210.155.37/uq2663/h/h157/index2.m3u8, Date: None, Resolution: None, Response Time: 702ms
Name: CCTV4, URL: https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8, Date: None, Resolution: None, Response Time: 708ms
Name: CCTV4, URL: http://api2.52tb.xyz/info?id=5&token=20230326xflvzc, Date: None, Resolution: None, Response Time: 720ms
Name: CCTV5, URL: https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8, Date: None, Resolution: None, Response Time: 240ms
Name: CCTV5, URL: http://183.196.25.171:808/hls/78/index.m3u8, Date: None, Resolution: None, Response Time: 499ms
Name: CCTV5, URL: http://1.195.111.251:11190/tsfile/live/0005_1.m3u8, Date: None, Resolution: None, Response Time: 514ms
Name: CCTV5, URL: http://api2.52tb.xyz/info?id=6&token=20230326xflvzc, Date: None, Resolution: None, Response Time: 977ms
Name: CCTV5, URL: http://gmxw.7766.org:808/hls/93/index.m3u8, Date: None, Resolution: None, Response Time: 1832ms
Name: CCTV5, URL: https://z88.ubtvfans.com/live/rx1/2760/ef7b429ab611f4f754b38762aeaee07c/index.m3u8, Date: None, Resolution: None, Response Time: 3086ms
Name: CCTV5, URL: https://z88.ubtvfans.com/live/rx1/204/7eb3bfaf347e514a453b161277aa01f3/index.m3u8, Date: None, Resolution: None, Response Time: 3086ms
Name: CCTV5+, URL: https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8, Date: None, Resolution: None, Response Time: 227ms
Name: CCTV5+, URL: http://cfss.cc/api/ysp/cctv5p.m3u8, Date: None, Resolution: None, Response Time: 574ms
Name: CCTV5+, URL: http://210.210.155.37/uq2663/h/h157/index2.m3u8, Date: None, Resolution: None, Response Time: 701ms
Name: CCTV5+, URL: http://api2.52tb.xyz/info?id=7&token=20230326xflvzc, Date: None, Resolution: None, Response Time: 702ms
Name: CCTV6, URL: https://node1.olelive.com:6443/live/CCTV6HD/hls.m3u8, Date: None, Resolution: None, Response Time: 248ms
Name: CCTV6, URL: http://183.196.25.171:808/hls/76/index.m3u8, Date: None, Resolution: None, Response Time: 487ms
Name: CCTV6, URL: http://1.195.111.251:11190/tsfile/live/0006_1.m3u8, Date: None, Resolution: None, Response Time: 501ms
Name: CCTV6, URL: http://1.195.111.251:11190/tsfile/live/0006_1.m3u8, Date: None, Resolution: None, Response Time: 506ms
Name: CCTV6, URL: http://api2.52tb.xyz/info?id=8&token=20230326xflvzc, Date: None, Resolution: None, Response Time: 715ms
Name: CCTV6, URL: http://210.210.155.37/uq2663/h/h157/index2.m3u8, Date: None, Resolution: None, Response Time: 733ms
Name: CCTV7, URL: http://111.75.151.236:50085/newlive/live/hls/7/live.m3u8, Date: None, Resolution: None, Response Time: 477ms
Name: CCTV7, URL: http://183.196.25.171:808/hls/7/index.m3u8, Date: None, Resolution: None, Response Time: 493ms
Name: CCTV7, URL: http://210.210.155.37/uq2663/h/h157/index2.m3u8, Date: None, Resolution: None, Response Time: 703ms
Name: CCTV7, URL: http://api2.52tb.xyz/info?id=9&token=20230326xflvzc, Date: None, Resolution: None, Response Time: 726ms
Name: CCTV7, URL: http://gmxw.7766.org:808/hls/25/index.m3u8, Date: None, Resolution: None, Response Time: 1762ms
Name: CCTV8, URL: https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8, Date: None, Resolution: None, Response Time: 250ms
Name: CCTV8, URL: http://api2.52tb.xyz/info?id=10&token=20230326xflvzc, Date: None, Resolution: None, Response Time: 470ms
Name: CCTV8, URL: http://1.195.111.251:11190/tsfile/live/0008_1.m3u8, Date: None, Resolution: None, Response Time: 508ms
Name: CCTV8, URL: http://iku.sunnyli.link:4144/udp/239.252.219.253:5140, Date: None, Resolution: None, Response Time: 539ms
